,Product Image Is Thumbnail - 2,Product Image Description - 2,Product UPC/EAN,Product Image Sort - 5,Free Shipping,Product Image Path - 3,Product Image Path - 4,Allow Purchases?,Page Title,Price,Product Image File - 5,Product Image Path - 1,Width,Product Image URL - 5,Brand Name,Product Image Index - 4,Product Image Index - 1,Track Inventory,Product Image ID - 3,Product Image Description - 1,Product Image Description - 3,Product Image Sort - 4,Product Image ID - 5,Product Image Path - 5,Fixed Shipping Price,Product Image Sort - 2,Product Type,Product Image Index - 2,Product Image URL - 4,Product Inventoried,Product Image File - 3,Product Image Path - 2,Height,Sale Price,Product ID,Product Image Is Thumbnail - 5,Product Image URL - 1,Product Image ID - 4,Product Name,Product Image File - 1,Product Image URL - 3,Category,Product Image Description - 5,Product Image Is Thumbnail - 4,Option Set,Search Keywords,Product Visible?,Description,Product Image ID - 2,Product Image Index - 5,Product Image Is Thumbnail - 3,Meta Description,Product Image Description - 4,Product Warranty,Product Description,Product Image File - 4,Depth,Product Image File - 2,Product Image ID - 1,Product Code/SKU,Current Stock Level,Product Image Sort - 3,Product Image Is Thumbnail - 1,Product Image Index - 3,Cost Price,Item Type,Product Image Sort - 1,Meta Keywords,Product Image URL - 2,Retail Price,Product Weight
43760,,,889645907888,,,,,N,,,,,,,,,,,,,,,,,,,,,,Y,,,,115.0,,,,,"[RT]Color=DARKPURP,[RB]Size=9.5",,,,,,,,N,,,,,,,,,,,,,1-15714,0.0,,,,58.19,SKU,,,,115.0,0.0
43761,,"X-Mission, 3, W, 2019, Salomon, Ski, DARKPURP, 7",,5.0,,,,Y,,[FIXED]115.0,,,,,,,,,,"X-Mission, 3, W, 2019, Salomon, Ski, DARKPURP, 7","X-Mission, 3, W, 2019, Salomon, Ski, DARKPURP, 7",4.0,,,,2.0,,,,Y,,,,115.0,,,,,,15709_0.jpg,,,"X-Mission, 3, W, 2019, Salomon, Ski, DARKPURP, 7",,,,Y,,,,,,"X-Mission, 3, W, 2019, Salomon, Ski, DARKPURP, 7",,,,,,,1-15709,,3.0,,,,Rule,1.0,,,115.0,0.0
43762,,"X-Mission, 3, W, 2019, Salomon, Ski, DARKPURP, 7.5",,5.0,,,,N,,[FIXED]115.0,,,,,,,,,,"X-Mission, 3, W, 2019, Salomon, Ski, DARKPURP, 7.5","X-Mission, 3, W, 2019, Salomon, Ski, DARKPURP, 7.5",4.0,,,,2.0,,,,Y,,,,115.0,,,,,,,,,"X-Mission, 3, W, 2019, Salomon, Ski, DARKPURP, 7.5",,,,N,,,,,,"X-Mission, 3, W, 2019, Salomon, Ski, DARKPURP, 7.5",,,,,,,1-15710,,3.0,,,,Rule,1.0,,,115.0,0.0
43763,,"X-Mission, 3, W, 2019, Salomon, Ski, DARKPURP, 8",,5.0,,,,N,,[FIXED]115.0,,,,,,,,,,"X-Mission, 3, W, 2019, Salomon, Ski, DARKPURP, 8","X-Mission, 3, W, 2019, Salomon, Ski, DARKPURP, 8",4.0,,,,2.0,,,,Y,,,,115.0,,,,,,,,,"X-Mission, 3, W, 2019, Salomon, Ski, DARKPURP, 8",,,,N,,,,,,"X-Mission, 3, W, 2019, Salomon, Ski, DARKPURP, 8",,,,,,,1-15711,,3.0,,,,Rule,1.0,,,115.0,0.0
43764,,"X-Mission, 3, W, 2019, Salomon, Ski, DARKPURP, 8.5",,5.0,,,,N,,[FIXED]115.0,,,,,,,,,,"X-Mission, 3, W, 2019, Salomon, Ski, DARKPURP, 8.5","X-Mission, 3, W, 2019, Salomon, Ski, DARKPURP, 8.5",4.0,,,,2.0,,,,Y,,,,115.0,,,,,,,,,"X-Mission, 3, W, 2019, Salomon, Ski, DARKPURP, 8.5",,,,N,,,,,,"X-Mission, 3, W, 2019, Salomon, Ski, DARKPURP, 8.5",,,,,,,1-15712,,3.0,,,,Rule,1.0,,,115.0,0.0
43765,,"X-Mission, 3, W, 2019, Salomon, Ski, DARKPURP, 9",,5.0,,,,N,,[FIXED]115.0,,,,,,,,,,"X-Mission, 3, W, 2019, Salomon, Ski, DARKPURP, 9","X-Mission, 3, W, 2019, Salomon, Ski, DARKPURP, 9",4.0,,,,2.0,,,,Y,,,,115.0,,,,,,,,,"X-Mission, 3, W, 2019, Salomon, Ski, DARKPURP, 9",,,,N,,,,,,"X-Mission, 3, W, 2019, Salomon, Ski, DARKPURP, 9",,,,,,,1-15713,,3.0,,,,Rule,1.0,,,115.0,0.0
43766,,"X-Mission, 3, W, 2019, Salomon, Ski, DARKPURP, 9.5",,5.0,,,,N,,[FIXED]115.0,,,,,,,,,,"X-Mission, 3, W, 2019, Salomon, Ski, DARKPURP, 9.5","X-Mission, 3, W, 2019, Salomon, Ski, DARKPURP, 9.5",4.0,,,,2.0,,,,Y,,,,115.0,,,,,,,,,"X-Mission, 3, W, 2019, Salomon, Ski, DARKPURP, 9.5",,,,N,,,,,,"X-Mission, 3, W, 2019, Salomon, Ski, DARKPURP, 9.5",,,,,,,1-15714,,3.0,,,,Rule,1.0,,,115.0,0.0
43767,,"X-Over, Glove, 18-19, Swany, , ",44659074050,5.0,,,,N,X-Over Glove 18-19,32.5,,,,,Swany,,,by option,,"X-Over, Glove, 18-19, Swany, , ","X-Over, Glove, 18-19, Swany, , ",4.0,,,,2.0,P,,,Y,,,,32.5,,,,,X-Over Glove 18-19,08391_0.jpg,,Gear/Gloves/Adult,"X-Over, Glove, 18-19, Swany, , ",,X-Over Glove 18-19,"X-Over, Glove, 18-19, Swany, , ",N,,,,,,"X-Over, Glove, 18-19, Swany, , ",,,,,,,0-08391,0.0,3.0,,,21.15,Product,1.0,"X-Over, Glove, 18-19, Swany, , ",,65.0,0.0
43768,,,44659074050,,,,,N,,,,,,,,,,,,,,,,,,,,,,Y,,,,32.5,,,,,"[RT]Color=BLACK,[RB]Size=S",,,,,,,,N,,,,,,,,,,,,,1-08391,0.0,,,,21.15,SKU,,,,65.0,0.0
43769,,,44659074081,,,,,N,,,,,,,,,,,,,,,,,,,,,,Y,,,,32.5,,,,,"[RT]Color=BLACK,[RB]Size=M",,,,,,,,N,,,,,,,,,,,,,1-08392,0.0,,,,21.15,SKU,,,,65.0,0.0
43770,,,44659074098,,,,,N,,,,,,,,,,,,,,,,,,,,,,Y,,,,32.5,,,,,"[RT]Color=BLACK,[RB]Size=L",,,,,,,,N,,,,,,,,,,,,,1-08393,0.0,,,,21.15,SKU,,,,65.0,0.0
43771,,,44659074104,,,,,N,,,,,,,,,,,,,,,,,,,,,,Y,,,,32.5,,,,,"[RT]Color=BLACK,[RB]Size=XL",,,,,,,,N,,,,,,,,,,,,,1-08394,0.0,,,,21.15,SKU,,,,65.0,0.0
43772,,,44659073992,,,,,N,,,,,,,,,,,,,,,,,,,,,,Y,,,,52.0,,,,,"[RT]Color=WHITE,[RB]Size=S",,,,,,,,N,,,,,,,,,,,,,1-08399,0.0,,,,21.15,SKU,,,,65.0,0.0
43773,,,44659074005,,,,,N,,,,,,,,,,,,,,,,,,,,,,Y,,,,52.0,,,,,"[RT]Color=WHITE,[RB]Size=M",,,,,,,,N,,,,,,,,,,,,,1-08400,0.0,,,,21.15,SKU,,,,65.0,0.0
43774,,,44659074012,,,,,N,,,,,,,,,,,,,,,,,,,,,,Y,,,,52.0,,,,,"[RT]Color=WHITE,[RB]Size=L",,,,,,,,N,,,,,,,,,,,,,1-08401,0.0,,,,21.15,SKU,,,,65.0,0.0
43775,,"X-Over, Glove, 18-19, Swany, BLACK, S",,5.0,,,,N,,[FIXED]32.5,,,,,,,,,,"X-Over, Glove, 18-19, Swany, BLACK, S","X-Over, Glove, 18-19, Swany, BLACK, S",4.0,,,,2.0,,,,Y,,,,32.5,,,,,,08391_0.jpg,,,"X-Over, Glove, 18-19, Swany, BLACK, S",,,,N,,,,,,"X-Over, Glove, 18-19, Swany, BLACK, S",,,,,,,1-08391,,3.0,,,,Rule,1.0,,,65.0,0.0
43776,,"X-Over, Glove, 18-19, Swany, BLACK, M",,5.0,,,,N,,[FIXED]32.5,,,,,,,,,,"X-Over, Glove, 18-19, Swany, BLACK, M","X-Over, Glove, 18-19, Swany, BLACK, M",4.0,,,,2.0,,,,Y,,,,32.5,,,,,,08392_0.jpg,,,"X-Over, Glove, 18-19, Swany, BLACK, M",,,,N,,,,,,"X-Over, Glove, 18-19, Swany, BLACK, M",,,,,,,1-08392,,3.0,,,,Rule,1.0,,,65.0,0.0
43777,,"X-Over, Glove, 18-19, Swany, BLACK, L",,5.0,,,,N,,[FIXED]32.5,,,,,,,,,,"X-Over, Glove, 18-19, Swany, BLACK, L","X-Over, Glove, 18-19, Swany, BLACK, L",4.0,,,,2.0,,,,Y,,,,32.5,,,,,,08393_0.jpg,,,"X-Over, Glove, 18-19, Swany, BLACK, L",,,,N,,,,,,"X-Over, Glove, 18-19, Swany, BLACK, L",,,,,,,1-08393,,3.0,,,,Rule,1.0,,,65.0,0.0
43778,,"X-Over, Glove, 18-19, Swany, BLACK, XL",,5.0,,,,N,,[FIXED]32.5,,,,,,,,,,"X-Over, Glove, 18-19, Swany, BLACK, XL","X-Over, Glove, 18-19, Swany, BLACK, XL",4.0,,,,2.0,,,,Y,,,,32.5,,,,,,08394_0.jpg,,,"X-Over, Glove, 18-19, Swany, BLACK, XL",,,,N,,,,,,"X-Over, Glove, 18-19, Swany, BLACK, XL",,,,,,,1-08394,,3.0,,,,Rule,1.0,,,65.0,0.0
43779,,"X-Over, Glove, 18-19, Swany, WHITE, S",,5.0,,,,N,,[FIXED]52.0,,,,,,,,,,"X-Over, Glove, 18-19, Swany, WHITE, S","X-Over, Glove, 18-19, Swany, WHITE, S",4.0,,,,2.0,,,,Y,,,,52.0,,,,,,,,,"X-Over, Glove, 18-19, Swany, WHITE, S",,,,N,,,,,,"X-Over, Glove, 18-19, Swany, WHITE, S",,,,,,,1-08399,,3.0,,,,Rule,1.0,,,65.0,0.0
43780,,"X-Over, Glove, 18-19, Swany, WHITE, M",,5.0,,,,N,,[FIXED]52.0,,,,,,,,,,"X-Over, Glove, 18-19, Swany, WHITE, M","X-Over, Glove, 18-19, Swany, WHITE, M",4.0,,,,2.0,,,,Y,,,,52.0,,,,,,,,,"X-Over, Glove, 18-19, Swany, WHITE, M",,,,N,,,,,,"X-Over, Glove, 18-19, Swany, WHITE, M",,,,,,,1-08400,,3.0,,,,Rule,1.0,,,65.0,0.0
43781,,"X-Over, Glove, 18-19, Swany, WHITE, L",,5.0,,,,N,,[FIXED]52.0,,,,,,,,,,"X-Over, Glove, 18-19, Swany, WHITE, L","X-Over, Glove, 18-19, Swany, WHITE, L",4.0,,,,2.0,,,,Y,,,,52.0,,,,,,,,,"X-Over, Glove, 18-19, Swany, WHITE, L",,,,N,,,,,,"X-Over, Glove, 18-19, Swany, WHITE, L",,,,,,,1-08401,,3.0,,,,Rule,1.0,,,65.0,0.0
43782,,"X-Over, Mitt, 18-19, Swany, , ",44659075361,5.0,,,,N,X-Over Mitt 18-19,52.0,,,,,Swany,,,by option,,"X-Over, Mitt, 18-19, Swany, , ","X-Over, Mitt, 18-19, Swany, , ",4.0,,,,2.0,P,,,Y,,,,65.0,,,,,X-Over Mitt 18-19,08402_0.jpg,,Gear/Gloves/Adult,"X-Over, Mitt, 18-19, Swany, , ",,X-Over Mitt 18-19,"X-Over, Mitt, 18-19, Swany, , ",N,,,,,,"X-Over, Mitt, 18-19, Swany, , ",,,,,,,0-08395,0.0,3.0,,,26.0,Product,1.0,"X-Over, Mitt, 18-19, Swany, , ",,65.0,0.0
43783,,,44659075361,,,,,N,,,,,,,,,,,,,,,,,,,,,,Y,,,,65.0,,,,,"[RT]Color=BLACK,[RB]Size=S",,,,,,,,N,,,,,,,,,,,,,1-08395,0.0,,,,21.15,SKU,,,,65.0,0.0
43784,,,44659075378,,,,,N,,,,,,,,,,,,,,,,,,,,,,Y,,,,65.0,,,,,"[RT]Color=BLACK,[RB]Size=M",,,,,,,,N,,,,,,,,,,,,,1-08396,0.0,,,,21.15,SKU,,,,65.0,0.0
43785,,,44659075385,,,,,N,,,,,,,,,,,,,,,,,,,,,,Y,,,,52.0,,,,,"[RT]Color=BLACK,[RB]Size=L",,,,,,,,N,,,,,,,,,,,,,1-08397,0.0,,,,21.15,SKU,,,,65.0,0.0
43786,,,44659075392,,,,,N,,,,,,,,,,,,,,,,,,,,,,Y,,,,52.0,,,,,"[RT]Color=BLACK,[RB]Size=XL",,,,,,,,N,,,,,,,,,,,,,1-08398,0.0,,,,21.15,SKU,,,,65.0,0.0
43787,,,44659075262,,,,,N,,,,,,,,,,,,,,,,,,,,,,Y,,,,65.0,,,,,"[RT]Color=WHITE,[RB]Size=S",,,,,,,,N,,,,,,,,,,,,,1-08402,0.0,,,,21.15,SKU,,,,65.0,0.0
43788,,,44659075279,,,,,N,,,,,,,,,,,,,,,,,,,,,,Y,,,,65.0,,,,,"[RT]Color=WHITE,[RB]Size=M",,,,,,,,N,,,,,,,,,,,,,1-08403,0.0,,,,21.15,SKU,,,,65.0,0.0
43789,,,44659075286,,,,,N,,,,,,,,,,,,,,,,,,,,,,Y,,,,65.0,,,,,"[RT]Color=WHITE,[RB]Size=L",,,,,,,,N,,,,,,,,,,,,,1-08404,0.0,,,,21.15,SKU,,,,65.0,0.0
43790,,,44659075200,,,,,N,,,,,,,,,,,,,,,,,,,,,,Y,,,,52.0,,,,,"[RT]Color=BLACK,[RB]Size=S",,,,,,,,N,,,,,,,,,,,,,1-13603,0.0,,,,26.0,SKU,,,,65.0,0.0
43791,,,44659075217,,,,,N,,,,,,,,,,,,,,,,,,,,,,Y,,,,52.0,,,,,"[RT]Color=BLACK,[RB]Size=M",,,,,,,,N,,,,,,,,,,,,,1-13604,0.0,,,,26.0,SKU,,,,65.0,0.0
